2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
33.52,40.47826087,36.51020408,34.97826087,28.2173913,31.47619048,28.41860465,36,33,22,29.92105263,31.23684211,37.46153846,30.34210526
36.07692308,35.53191489,27.60416667,36.4375,36.36956522,29.97777778,36.18181818,39.85714286,32,28,24.55,35.02564103,42.71428571,40.58974359
38.90566038,43.51020408,44.20454545,43.76086957,42.32608696,46.81395349,41.74418605,49,38,35,37.125,48.775,41.69230769,38.20512821
54.13207547,55.875,50.17391304,54.78723404,53.97826087,56.76086957,55.7,50,53,50,53.58974359,52.275,58.73684211,50.12820513
58.09615385,61.69387755,64.15909091,59.42222222,62.85106383,65.06666667,65.0952381,66,60,61,65.30769231,60.17073171,61.125,68
72.62745098,71.10869565,72.36956522,73.72340426,70.25,75.63043478,71.38461538,68,72,70,72.375,71.64102564,71.65,71.41025641
77.42857143,77.30434783,74.9787234,75.74468085,72.93617021,78.55555556,77.07692308,76,76,72,75.12195122,77.5,76.76315789,75.94736842
77.05882353,76.6875,76.06666667,72.12765957,75.75,75.93181818,74.29268293,73,71,69,73.66666667,77.225,72.12820513,76.775
71.03921569,65.04081633,69.52173913,68.36170213,66.10204082,69.76086957,66.76190476,65,65,64,70.46153846,70.89473684,67.94871795,72.35897436
57.38,54.63829787,62.73913043,54.46666667,54.8125,57.1627907,55,54,57,54,55,58.5,60.47368421,58.45
48.3125,48.89361702,44.97826087,44.08510638,49.22727273,45.52272727,47.47619048,39,42,38,50.23076923,47.2,44.91891892,42.85
33.38297872,42.40816327,37.57446809,38,34.75,30.24444444,40.69047619,38,36,35,46.73684211,37.23076923,34.36111111,38.61538462
